occurred_date,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,clearance_status,clearance_date,latitude,longitude,year,month,week,day
2018-01-21,MURDER,Y,2018-01-21 16:46:00,STREETS / HWY / ROAD / ALLEY,5300 BLOCK WELLINGTON DR,78723.0,1.0,ID,4,C,2018-01-22 00:00:00,30.30098396,-97.68549425,2018,1,3,21
2018-03-01,MURDER,Y,2018-03-01 12:04:00,RESIDENCE / HOME,5413 LA LOMA LN,78617.0,2.0,HE,7,C,2018-03-02 00:00:00,30.17424764,-97.63076595,2018,3,9,1
2018-03-02,MURDER,N,2018-03-02 06:55:00,RESIDENCE / HOME,1112 HAVERFORD DR,78753.0,7.0,ED,6,,,30.40601532,-97.64868575,2018,3,9,2
2018-03-05,MURDER,N,2018-03-05 06:05:00,RESIDENCE / HOME,5605 SPRINGDALE RD,78723.0,1.0,CH,4,C,2018-03-28 00:00:00,30.29930398,-97.67369558,2018,3,10,5
2018-03-06,CAPITAL MURDER,N,2018-03-06 16:47:00,PARKING LOTS / GARAGE,3210 KRAMER LN,78758.0,7.0,AD,2,C,2018-03-29 00:00:00,30.39776451,-97.72673528,2018,3,10,6
2018-03-12,MURDER,N,2018-03-12 09:27:00,RESIDENCE / HOME,4806 OLDFORT HILL DR,78723.0,1.0,CH,4,,,30.28891493,-97.67405158,2018,3,11,12
2018-03-24,MURDER,N,2018-03-24 21:25:00,PARKING LOTS / GARAGE,605 MASTERSON PASS,78753.0,4.0,ED,1,C,2018-03-25 00:00:00,30.36920586,-97.69116707,2018,3,12,24
2018-04-17,CAPITAL MURDER,N,2018-04-17 01:43:00,RESIDENCE / HOME,412 E WILLIAM CANNON DR,78745.0,2.0,FR,4,C,2018-04-22 00:00:00,30.19259606,-97.77497082,2018,4,16,17
2018-05-19,MURDER,N,2018-05-19 04:36:00,PARKING LOTS / GARAGE,321 W BEN WHITE BLVD SVRD EB,78745.0,3.0,DA,3,C,2018-05-19 00:00:00,30.22421645,-97.76741591,2018,5,20,19
2018-05-26,MURDER,Y,2018-05-26 08:50:00,RESIDENCE / HOME,9604 BEAR PAW TRL,78617.0,2.0,HE,8,C,2018-05-26 00:00:00,30.22274207,-97.66630256,2018,5,21,26
2018-06-02,MURDER,Y,2018-06-02 18:20:00,RESIDENCE / HOME,6409 SPRINGDALE RD,78723.0,1.0,CH,4,C,2018-08-11 00:00:00,30.30714138,-97.66939998,2018,6,22,2
2018-06-21,MURDER,N,2018-06-21 15:09:00,STREETS / HWY / ROAD / ALLEY,HUNTWICK DR / E OLTORF ST,78741.0,3.0,HE,4,C,2018-06-21 00:00:00,30.22662317,-97.72589067,2018,6,25,21
2018-06-27,MURDER,N,2018-06-27 17:01:00,GAS / SERVICE STATIONS,13014 POND SPRINGS RD,78729.0,6.0,AD,4,C,2018-06-29 00:00:00,30.44090837,-97.77369554,2018,6,26,27
2018-07-04,MURDER,N,2018-07-04 01:26:00,PARKING LOTS / GARAGE,2501 ANKEN DR,78741.0,3.0,HE,2,C,2018-07-05 00:00:00,30.22935836,-97.72771402,2018,7,27,4
2018-07-09,MURDER,N,2018-07-09 13:35:00,HOTEL / MOTEL / ETC.,1500 S LAMAR BLVD,78704.0,5.0,DA,1,C,2018-07-13 00:00:00,30.25255564,-97.76453076,2018,7,28,9
2018-08-24,MURDER,N,2018-08-25 00:14:00,STREETS / HWY / ROAD / ALLEY,1615 MEARNS MEADOW BLVD,78758.0,4.0,ED,2,,,30.37890614,-97.70695576,2018,8,34,24
2018-09-01,MURDER,N,2018-09-01 07:37:00,PARKING LOTS / GARAGE,1307 E 52ND ST,78723.0,4.0,ID,5,C,2018-09-03 00:00:00,30.30815673,-97.70539758,2018,9,35,1
2018-09-11,MURDER,N,2018-09-11 17:23:00,PARKING LOTS / GARAGE,1500 E PARMER LN,78753.0,7.0,ED,6,C,2018-12-11 00:00:00,30.38978843,-97.65120925,2018,9,37,11
2018-09-23,MURDER,N,2018-09-23 04:07:00,BAR / NIGHT CLUB,1934 RUTLAND DR,78758.0,4.0,ED,2,,,30.37972058,-97.71302423,2018,9,38,23
2018-09-25,MURDER,Y,2018-09-26 01:41:00,RESIDENCE / HOME,5604 PALISADE CT,78731.0,10.0,BA,7,O,2018-09-26 00:00:00,30.34039947,-97.78221893,2018,9,39,25
2018-09-27,MURDER,N,2018-09-27 23:47:00,RESIDENCE / HOME,7330 BLUFF SPRINGS RD,78744.0,2.0,FR,8,O,2018-09-28 00:00:00,30.17952332,-97.77026779,2018,9,39,27
2018-09-29,MURDER,N,2018-09-29 23:55:00,RESIDENCE / HOME,2101 E BEN WHITE BLVD SVRD EB,78744.0,2.0,FR,6,C,2018-11-26 00:00:00,30.21529713,-97.74336678,2018,9,39,29
2018-10-03,MURDER,N,2018-10-03 17:58:00,PARKING LOTS / GARAGE,9133 NORTHGATE BLVD,78758.0,4.0,ED,2,C,2018-11-01 00:00:00,30.3711701,-97.71587339,2018,10,40,3
2018-11-06,CAPITAL MURDER,N,2018-11-06 12:33:00,PARKING LOTS / GARAGE,1030 NORWOOD PARK BLVD,78753.0,4.0,ID,2,C,2018-12-04 00:00:00,30.3391525,-97.69116892,2018,11,45,6
2018-11-11,MURDER,Y,2018-11-11 11:32:00,PARKING LOTS / GARAGE,4701 S IH 35 SVRD NB,78744.0,2.0,FR,5,C,2019-01-23 00:00:00,30.20809201,-97.75526036,2018,11,45,11
2018-11-13,MURDER,N,2018-11-13 14:48:00,HOTEL / MOTEL / ETC.,11105 N IH 35 SVRD NB,78753.0,1.0,ED,7,C,2018-12-03 00:00:00,30.37472693,-97.67683667,2018,11,46,13
2018-12-29,MURDER,N,2018-12-31 23:04:00,FIELD / WOODS,7000 ED BLUESTEIN BLVD SVRD NB,78724.0,1.0,CH,7,,,30.31173768,-97.66175383,2018,12,52,29
