bias,date,number_of_offenders_over_18,number_of_offenders_under_18,number_of_victims_over_18,number_of_victims_under_18,offense,offense_location,offender_ethnicity
Anti-African American,1/1/2017,1,0,1,0,Aggravated Assault,Park/Playground,Caucasian
Anti-Caucasian,2/1/2017,1,0,1,0,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,African American
Anti-Jewish,3/21/2017,0,0,0,0,Destruction,Highway/Road/Alley/Street/Sidewalk,Unknown
Anti-Jewish,4/12/2017,0,0,0,0,Simple Assault,Air/Bus/Train Terminal,Caucasian
Anti-LGBT,5/15/2017,2,1,0,1,Simple Assault,Residence/Home,Caucasian
Anti-LGBT,6/4/2017,2,0,1,0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Caucasian 
Anti-Hispanic,6/15/2017,1,0,1,0,Intimidation,Bank/Savings and Loan,Caucasian
Anti-African American,6/17/2017,1,0,1,0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Caucasian
Anti-African American,7/1/2017,1,0,1,0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Unknown
Anti-African American,7/5/2017,1,0,1,0,Intimidation,Residence/Home,Unknown
Anti-LGBT,7/20/2017,1,0,1,0,Robbery,Residence/Home,Unknown
Anti-LGBT,7/21/2017,1,0,1,0,Destruction,Residence/Home,Caucasian
Anti-African American,10/15/2017,1,0,1,0,Simple Assault,Highway/Road/Alley/Street/Sidewalk,Hispanic
Anti-LGBT,10/24/2017,0,2,1,0,Intimidation,Residence/Home,Hispanic
Anti-Muslim,11/10/2017,1,0,1,0,Simple Assault,Restaurant,Caucasian
Anti-Muslim,11/16/2017,1,0,1,0,Simple Assault,Other/Unknown,Caucasian
Anti-Hispanic,11/26/2017,0,0,1,0,Intimidation,Parking/Drop Lot,Unknown
Anti-African American,1/19/2018,0,0,0,0,Vandalism,Parking Lot/Garage,Unknown
Anti-LGBT,1/25/2018,1,0,2,0,Burglary/Assault,Residence/Home,Caucasian
Anti-LGBT,2/8/2018,1,0,1,0,Assault,Parking Lot/Garage,Caucasian
Anti-African American,2/22/2018,1,0,1,0,Vandalism,Highway/Road/Street,Caucasian
Anti-Hispanic,3/2/2018,4,0,1,0,Assault,Highway/Road/Street,African American
Anti-Muslim,3/6/2018,1,1,0,0,Vandalism,Convenience Store,Caucasian
Anti-African American,3/8/2018,1,0,1,0,Assault,Highway/Road/Street,Caucasian
Anti-African American,4/1/2018,1,0,1,0,Intimidation,Parking Lot/Garage,Caucasian
Anti-Caucasian,4/30/2018,1,0,1,0,Assault,Streets/Highway/Road/Alley,Hispanic
Anti-LGBT,5/21/2018,1,0,1,0,Assault,Bar/Nightclub,Hispanic
Anti-LGBT,6/16/2018,1,0,1,0,Assault,Parking Lot/Garage,Hispanic
Anti-African American,6/28/2018,1,0,1,0,Assault,Convenience Store,Caucasian
Anti-African American,8/13/2018,1,0,1,0,Assault,Residence/Home,Caucasian
Anti-African American,8/25/2018,1,0,1,0,Assault,Convenience Store,Asian
Anti-Disability,9/9/2018,1,0,1,0,Theft,Bar/Nightclub,Hispanic
Anti-African American,9/11/2018,1,0,1,0,Aggravated Assault,Church/Synagogue,Caucasian
Anti-Hispanic,10/11/2018,1,0,0,1,Assault,Park/Playground,Caucasian
Anti-LGBT,10/19/2018,1,0,1,0,Assault,Highway/Road/Street,African American
Anti-Hispanic,12/15/2018,1,0,1,0,Assault,Streets/Highway/Road/Alley,Hispanic
Anti-LGBT,12/29/2018,0,0,1,0,Assault,Bar/Nightclub,Unknown
Anti-LGBT,1/19/2019,4,0,2,0,Assault,Streets/Highway/Road/Alley,Caucasian (2) Hispanic (2)
Anti-Jewish,2/22/2019,0,0,1,0,Vandalism,Residence/Home,Unknown
Anti-LGBT,3/31/2019,1,0,1,0,Assault,Bar/Nightclub,Hispanic
Anti-Hispanic,4/4/2019,3,0,1,0,Assault,School-Elementary/Secondary,Hispanic
Anti-Caucasian,6/11/2019,2,0,1,0,Criminal Mischief,Hotel/Motel,African American
Anti-Muslim,8/6/2019,0,3,0,1,Assault,Parking Lot/Garage,Hispanic
Anti-African American,8/12/2019,1,0,1,0,Intimidation,Drug Store/Dr.'s office/Hospital,Caucasian
Anti-LGBT,8/24/2019,1,0,1,0,Assault,Bar/Nightclub,Hispanic
Anti-LGBT,11/23/2019,1,0,1,0,Assault,Streets/Highway/Road/Alley,Caucasian
Anti-African American,12/19/2019,1,0,1,0,Intimidation,Shelter-Mission/Homeless,Caucasian
Anti-African American,12/30/2019,1,0,1,0,Assault,Streets/Highway/Road/Alley,Caucasian
Anti-African American,3/1/2020,1,0,1,0,Criminal Mischief,Residence/Home,Caucasian
Anti-LGBT,3/8/2020,2,0,1,0,Assault,Parking Lot,Hispanic
Anti-LGBT,3/22/2020,0,0,1,0,Criminal Mischief,Residence/Home,Unknown
Anti-Jewish,3/22/2020,0,0,1,0,Criminal Mischief,Residence/Home,Unknown
Anti-Buddhist,4/20/2020,0,0,1,0,Criminal Mischief,Church/Synagogue/Temple/Mosque,Unknown
Anti-LGBT,4/29/2020,1,0,1,0,Assault by Threat,Department/Discount Store,African American
Anti-African American,5/17/2020,1,0,1,0,Assault by Contact,Convenience Store,Caucasian
Anti-Hispanic,5/20/2020,1,0,1,0,Assault with Injury,Streets/Highway/Road/Alley,Caucasian
